id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12ljdybnmzbxlmd0224jtrguujyx3fz004,‫אור דדון‬‎,6 hours ago,1462558977943,Goku is afraid of needles :C,0,false,0,,,,,,
z121yduhsknzhxvcv23xdxboxsetyb401,ZoanBlade90,6 hours ago,1462558977944,"0:30 Meanwhile, a chill goes down Vegeta's spine, and he doesn't know why...",0,false,0,,,,,,
z13xev5xcsefet0jl04cjz1ailmmszzwfzc0k,Super Kami Guru,6 hours ago,1462558977944,Is Fiery Hammers a thing? I need answers!,0,false,0,,,,,,
z13rt5hhrlztsj4gt04ch5cgasuwtxnienk0k,JackZake64,6 hours ago,1462558977945,"Surprised that Goku fainted in the beginning. I mean, he did plow through King Piccolo's chest when he was a kid.",1,true,2,,,,,,
,,,,,,,,z13rt5hhrlztsj4gt04ch5cgasuwtxnienk0k.1462545356590973,jpifer 17,3 hours ago,1462558979062,"+JackZake64 to be fair, I think his eyes were closed. He's probably more used to his enemies disintegrating.",0
,,,,,,,,z13rt5hhrlztsj4gt04ch5cgasuwtxnienk0k.1462547133160192,Detona Tesoni,3 hours ago,1462558979063,+JackZake64 But King Piccolo didn't have any organs. Just fleshy bits.,0
z13pjdzzqsu1sfsnn23zsdnogoqbzz2zu04,Super Kami Guru,6 hours ago,1462558977946,Goku will always be the last thing you see. Including his hand now,0,false,0,,,,,,
z12ujxvp0tbnihmv3232h3arnzj0ed4gy04,DSx369,6 hours ago,1462558977947,Only 29 likes in 11 hours 2K likes in 11hours,0,false,0,,,,,,
z132xldxfp3tgnqmj22ahl1goo2zcbjky,Toby Got Bored,6 hours ago,1462558977947,make goku play Skyrim,0,false,0,,,,,,
z12gsph5msetf5guo23hffzb4ye1cpnmm,MegaDragoz,6 hours ago,1462558977948,It'd be cool to see Gohan play some games. Especially ones that require being smart.,1,true,1,,,,,,
,,,,,,,,z12gsph5msetf5guo23hffzb4ye1cpnmm.1462551643851672,Kyotis Nigel,2 hours ago,1462558979310,+MegaDragoz Gohan is Gonna Show You!,0
z120ivepjzr1hpqfq23tg1argqupyvih404,Jeremy Kaston,6 hours ago,1462558977949,play the VR version,0,false,0,,,,,,
z12chn04ekyazfimm22js5ggtkv5tvfea,Vendus,7 hours ago,1462558977949,Doctor Shenron knows best xD,1,false,0,,,,,,
z13yt52j2xr5ij4ay04cjhfy2saxf31jri4,Judge Eternus,7 hours ago,1462558977950,I JUST said the other day that Goku should play Surgeon Simulator! And look what he played! XD,0,false,0,,,,,,
z12iizjguyuojtyv522whzogfw3gy1ieh,Fan of Most Everything,7 hours ago,1462558977951,Wow. That got kind of Giygas-y at the end there.,0,false,0,,,,,,
z13dz3yooreow1tkh23pjtqi4s31cpotb,Pippi Pig,7 hours ago,1462558977951,Have gohan play cod or gta. But have it to were when he first statt hes acting innocent then gets scared by the violence or the people talking and goes boss mode and recks them.,0,false,0,,,,,,
z13qclnwcsevgzsmc23ay1dxvsytwvq0h,William Block,7 hours ago,1462558977952,1:12 y u flick meh off?!,0,false,0,,,,,,
z13zch1zis2hzbn4g04cjtvqmymffhxbka0,J0ECRAWF15H,8 hours ago,1462558977953,"There's your every day, run of the mill stupid, and then there's ""Dr. Goku"". XD",1,false,0,,,,,,
z13rvdcwvsyrwn44h04cizv4srefirkic0s,Poipoigirl,8 hours ago (edited),1462558977953,All Dr. Goku's patients are going to die,0,false,0,,,,,,
z12kzt1yjpecdpmfi22mwhuihtazw5wtr,Shadoan18,8 hours ago,1462558977954,"Would like to see Gohan try mystery Games like ""The Consuming Shadow."" That or have Krillin and Goku play a video game together.... Well, sort of; I mean, the characters in the manga and anime - they're good friends, they could try playing a game together... Rip off Two Sayians Play and have Vegeatea come inm and crash the party.",0,false,0,,,,,,
z13qejorfm2ts511i22khzmh5uzduhjlj,SixxStudio Bass,9 hours ago,1462558977955,love that gohan has more commentary now lmao,0,false,0,,,,,,
z121epp5vnnqjtvv522puzdowuycenby204,Justin Kalman,9 hours ago,1462558977956,I LOVE the idea that whenever he isn't speaking? Gohan is just staring. Just wordlessly drilling into everything his father says. Wonder how the f*ck HE came into being.,0,true,1,,,,,,
,,,,,,,,z121epp5vnnqjtvv522puzdowuycenby204.1462553435201527,Dadycoool,1 hour ago,1462558979556,"+Justin Kalman He should probably stop watching his father play video games. His brains will start leaking out of his ears soon. Also, Chi-Chi probably did most of the work.",0
z13xzzdojz2cux1ht04ccdcoqz3wjpyxifg,asilva5021,9 hours ago,1462558977957,Goku plays the Godfather,0,false,0,,,,,,
z13bcnzauvj0erxi304cfbqjeub2hh3z5wc0k,Pestilent Defiler,9 hours ago,1462558977957,Goku and Vegeta play Street Fighter 5 should be fun.,1,false,0,,,,,,
z12furibrwz0zvnqn04cif2pmufch3gydsc0k,Awesome Dakka,9 hours ago,1462558977958,"Goku's the last person who should be making sense-based puns. He's also the last person I'd expect any hospital to allow to become a Surgeon. Even then, they wouldn't let him.",0,false,0,,,,,,
z13hvxgxiy3ysj2lc220znehelilgxrtv,TheLunarLegend,9 hours ago,1462558977958,... I think I'll just live with my cough. I'm good.,0,false,0,,,,,,
z12le3hbrrv3jjskv23jy1dwnnf2ivtfn,.Random Brothers,9 hours ago,1462558977959,Am I the only one who wants to see gohan play games,0,false,0,,,,,,
z13kcl0h3qbuedeos04cibkbjzfiv5mwars0k,Round2Sucker,9 hours ago,1462558977960,0:45 your British is showing.,0,false,0,,,,,,
z13eh1jqumvie5nzf04ccnmh3s20hzooj3s,Yang Xiao Long,9 hours ago,1462558981726,Goku maybe you just stick to beating up people.,0,false,0,,,,,,
z12txfdgylbmgdftt22ivlpzftaayrgzc04,predalien1413,10 hours ago,1462558981727,"Now all we need is a Vegeta proctologist simulator then we will be pretty ace, oh also a Piccolo attorney simulator.",0,true,1,,,,,,
,,,,,,,,z12txfdgylbmgdftt22ivlpzftaayrgzc04.1462532028671235,Liam James,7 hours ago,1462558982009,That reference doe,1
z13mhx3xxzjguheq404ccrabhrivy52icis,those2vgplayers,10 hours ago,1462558981728,Watching this while being sick. I need dr goku,0,false,0,,,,,,
z12zwvhohqrsj3kjh04cfdupvlekgjegqv40k,Victor Evans,10 hours ago,1462558981728,I think its great he got an achievement for putting the extra heart in,0,false,0,,,,,,
z12diduyzluwtja5404cfp0zyw35h3hhqic,silverangelics,10 hours ago,1462558981729,I feel like the only way this could be more hilarious was if Goku suddenly became fucking amazing at the game after he drugged himself. Gohan's reaction would be great.,0,false,0,,,,,,
z12osrd5jzuqgff5s04cf3gyslnrxnkj2gw,damen kudo,10 hours ago,1462558981729,krillin runs in sensubean!,0,false,0,,,,,,
z12yy5vwtpicxtfvu23mxzv4bvayjde4m04,Gareth Evans,10 hours ago,1462558981730,Apparently if Surgeons advance far enough in their career they become Mister (or Miss/Mrs/Ms). I'm not sure why.,0,false,0,,,,,,
z13odhogpzbiezcpx04cctgp2uzrydshvyo0k,Rose EnderstrikeWolf,11 hours ago,1462558981731,"That Mafia impression though OH GOD, DON'T EAT THE LUNG GOKU GODDAMNIT",0,false,0,,,,,,
z125d3wxlviodjeuj23dex25lwbct5oms,22kingdomheartsfan,12 hours ago,1462558981731,Oh that was amazing! I can't get enough of Goku playing games!,0,false,0,,,,,,
z122ghbpcpqjxrvbi04cg5wyjtjaxtd4wec,Liz Maria,12 hours ago,1462558981732,Omg i love this XD,0,false,0,,,,,,
z13kffoagwbsdprle225fjnynxijdromi,Sonicshadowfusion,12 hours ago,1462558981732,How about you guys let goku play sonic Colours. there is a world made out of food there~,2,false,0,,,,,,
z12qwhexqpvgtj1pe04cfvsbgv2suvap55s,Tet Hotarubi,12 hours ago,1462558981733,Wait... Goku Has A Fear Of Needles...,0,false,0,,,,,,
z13mfbhqppfqebdn323td5wyytr4t1k0n,The Zerukin,12 hours ago (edited),1462558981733,Amazed they didn't crack a joke of Goku being afraid of needles. gets to 7:35 Oh. Nevermind!,0,false,0,,,,,,
z13cu1kbeluevl3ii04cczsolu2syljqgco,Adrian Nightshade,12 hours ago (edited),1462558981734,who lovess orange soda?,0,false,0,,,,,,
z12ngjtyznqvzhkuo22bzrbhatqetjiep,Andrew Spence,12 hours ago,1462558981734,And I was expecting goku to say mmmmmmm ribs XD,1,false,0,,,,,,
z12rhjwacrq3jbwcu22aznbbvr3jfffjp04,A Yandere Pegasister,12 hours ago,1462558981735,That what happens when Goku went on drugs 8:15-9:26,1,false,0,,,,,,
z13ewjya5ofpjjnns22kujbqgzqlyjrp304,brokenrhyme,12 hours ago,1462558981736,Dearest God in Heaven! WTH?!,0,false,0,,,,,,
z12gituzwxvrtvl4404cgbrxoyviw3pjko00k,Harvey DoesEverything,12 hours ago,1462558981736,1:09 I GASPED FUCKING R O A S T E D,0,false,0,,,,,,
